               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.088121,            0.090817,             0.04856,             0.12028,             0.39044,             0.10345,            0.028716,            0.053686,            0.054676,            0.045085,             0.00273,             0.00273,             0.07543
                   1,            0.066627,            0.080703,             0.04519,            0.070254,             0.49709,            0.078611,             0.01957,            0.059643,            0.045945,             0.04352,           0.0054688,           0.0054688,            0.050769
                   2,            0.068972,             0.07188,            0.044546,             0.10884,             0.61839,             0.14009,            0.045763,            0.060202,            0.039837,             0.04343,           0.0082027,           0.0082027,            0.026103
                   3,            0.069505,             0.06807,            0.044547,            0.087178,             0.59425,            0.094817,            0.022301,            0.062436,            0.039445,            0.042858,             0.00998,             0.00998,             0.00998
                   4,            0.064698,             0.06307,             0.04446,             0.10084,             0.76478,             0.14521,            0.055902,            0.055071,            0.041579,            0.043227,             0.00998,             0.00998,             0.00998
                   5,            0.058039,            0.061788,            0.044321,             0.15464,             0.74622,             0.22094,             0.10201,            0.047427,            0.038608,            0.042896,           0.0099645,           0.0099645,           0.0099645
                   6,              0.0521,             0.06136,              0.0433,             0.15594,             0.73081,             0.20265,            0.099411,            0.038849,            0.040626,            0.043282,           0.0099446,           0.0099446,           0.0099446
                   7,            0.044911,            0.062753,            0.043495,             0.22629,             0.65818,             0.22126,             0.10207,             0.03931,            0.039464,            0.042965,           0.0099203,           0.0099203,           0.0099203
                   8,            0.043395,            0.066159,            0.043933,             0.17952,             0.87439,             0.21497,             0.11454,            0.033711,             0.03985,            0.042607,           0.0098916,           0.0098916,           0.0098916
                   9,            0.039941,            0.063136,            0.043891,              0.1948,              0.7278,             0.21479,             0.11548,             0.03158,            0.040307,            0.042586,           0.0098586,           0.0098586,           0.0098586
                  10,            0.038919,            0.068799,            0.043661,             0.17601,             0.78885,             0.22214,             0.11493,             0.03347,            0.040363,            0.042384,           0.0098213,           0.0098213,           0.0098213
                  11,            0.037859,            0.058152,            0.043127,              0.2178,             0.69648,             0.24032,             0.12644,            0.032755,            0.038481,            0.041998,           0.0097798,           0.0097798,           0.0097798
                  12,             0.03917,            0.062224,            0.043774,             0.22698,             0.71195,             0.24354,             0.12152,            0.031673,            0.039943,            0.041909,            0.009734,            0.009734,            0.009734
                  13,            0.036882,             0.06243,            0.043196,               0.205,             0.78018,             0.24205,             0.12039,            0.031563,              0.0384,             0.04169,            0.009684,            0.009684,            0.009684
                  14,            0.036205,            0.063142,            0.043193,             0.22611,             0.73597,             0.27413,             0.13341,            0.033772,            0.041048,            0.041469,           0.0096299,           0.0096299,           0.0096299
                  15,            0.035836,            0.059833,             0.04258,             0.23526,             0.79383,             0.29764,             0.15836,            0.031018,            0.039431,            0.041369,           0.0095717,           0.0095717,           0.0095717
                  16,            0.035032,             0.06529,            0.042914,             0.26475,             0.71922,             0.33501,             0.18701,            0.030908,            0.038999,             0.04115,           0.0095095,           0.0095095,           0.0095095
                  17,            0.036686,            0.061989,            0.042927,             0.26955,             0.72006,             0.32597,             0.16754,            0.029707,            0.039142,             0.04115,           0.0094434,           0.0094434,           0.0094434
                  18,            0.035317,            0.064305,            0.042647,             0.22596,             0.78603,             0.33109,             0.17676,            0.031716,            0.039893,            0.040404,           0.0093733,           0.0093733,           0.0093733
                  19,            0.033677,            0.061013,            0.042195,             0.24404,             0.74521,             0.32837,             0.18506,            0.031438,            0.039338,            0.040445,           0.0092995,           0.0092995,           0.0092995
                  20,            0.032907,            0.058838,            0.041408,             0.24397,             0.72624,             0.32711,              0.1802,             0.03187,             0.03965,            0.040404,           0.0092219,           0.0092219,           0.0092219
                  21,            0.034299,             0.06116,            0.041606,             0.29161,             0.70784,             0.35997,             0.20159,            0.029408,             0.03838,            0.040166,           0.0091406,           0.0091406,           0.0091406
                  22,            0.034264,            0.060877,            0.041692,             0.39136,             0.71627,             0.41321,             0.22122,            0.029882,            0.038149,            0.039377,           0.0090557,           0.0090557,           0.0090557
                  23,            0.032704,            0.059024,            0.040932,             0.32664,             0.72748,             0.39972,             0.22614,            0.029554,            0.038154,            0.039355,           0.0089673,           0.0089673,           0.0089673
                  24,            0.033641,            0.057061,             0.04088,             0.35935,             0.78966,             0.42848,             0.24168,             0.02877,            0.038715,            0.038145,           0.0088755,           0.0088755,           0.0088755
                  25,            0.032144,             0.06008,            0.039794,             0.43358,             0.68153,              0.4365,             0.22713,            0.033132,            0.040878,             0.03781,           0.0087804,           0.0087804,           0.0087804
                  26,            0.032806,            0.060047,            0.040044,             0.41396,             0.70196,             0.44336,             0.24461,            0.030972,            0.039271,            0.038112,            0.008682,            0.008682,            0.008682
                  27,            0.032134,            0.058482,              0.0387,             0.45911,             0.63763,             0.45555,             0.25351,             0.03189,            0.039882,             0.03835,           0.0085805,           0.0085805,           0.0085805
                  28,            0.032819,            0.060313,            0.038947,             0.44497,             0.64752,             0.44834,             0.21759,            0.032085,            0.039393,            0.038383,           0.0084759,           0.0084759,           0.0084759
                  29,             0.03283,            0.060907,            0.037756,             0.44446,             0.70439,             0.46687,             0.25574,            0.029903,            0.039345,            0.037794,           0.0083684,           0.0083684,           0.0083684
                  30,             0.03145,            0.057808,            0.037691,             0.45427,             0.66148,             0.46498,             0.27103,            0.032018,            0.040477,            0.036723,           0.0082581,           0.0082581,           0.0082581
                  31,            0.032823,            0.061768,            0.037675,             0.47837,             0.71323,             0.49571,             0.28166,            0.029649,            0.039252,            0.036485,            0.008145,            0.008145,            0.008145
                  32,            0.030476,            0.058578,            0.037003,             0.44181,             0.74378,             0.46986,             0.25681,             0.03159,             0.04033,            0.037091,           0.0080294,           0.0080294,           0.0080294
                  33,            0.030644,             0.05807,            0.036639,              0.4468,             0.72693,             0.47138,             0.25654,            0.030625,            0.039024,            0.036799,           0.0079112,           0.0079112,           0.0079112
                  34,            0.030618,             0.05373,            0.035822,             0.42467,             0.71859,             0.47315,             0.26522,            0.030201,            0.038777,            0.037442,           0.0077907,           0.0077907,           0.0077907
                  35,            0.030602,            0.059097,            0.035351,             0.45329,             0.70996,             0.48525,             0.26667,            0.030624,            0.040098,             0.03624,           0.0076679,           0.0076679,           0.0076679
                  36,            0.029894,            0.053067,            0.035088,             0.47171,             0.70314,             0.49508,             0.29137,            0.028284,            0.038675,            0.035992,            0.007543,            0.007543,            0.007543
                  37,            0.029624,            0.058229,            0.034405,             0.42469,             0.71662,             0.48861,             0.26242,             0.02851,            0.038177,            0.035679,            0.007416,            0.007416,            0.007416
                  38,            0.030304,            0.053587,             0.03463,             0.43386,             0.77857,             0.51819,             0.26519,            0.028735,            0.037914,            0.035643,           0.0072872,           0.0072872,           0.0072872
                  39,            0.029559,            0.059249,            0.035192,             0.43042,             0.77477,             0.51462,             0.30057,            0.028076,            0.038627,            0.035716,           0.0071566,           0.0071566,           0.0071566
                  40,            0.030041,            0.058094,            0.034667,             0.47371,             0.69085,             0.50136,             0.29167,             0.02897,            0.040138,            0.035057,           0.0070243,           0.0070243,           0.0070243
                  41,            0.029636,            0.059006,            0.033906,             0.46177,             0.74097,              0.5147,             0.30587,            0.029649,            0.040346,            0.035055,           0.0068906,           0.0068906,           0.0068906
                  42,            0.028345,            0.055077,            0.033896,             0.46069,             0.72353,             0.50606,             0.30152,            0.030462,            0.040095,            0.035575,           0.0067555,           0.0067555,           0.0067555
                  43,            0.029025,            0.057687,            0.033908,              0.4663,             0.72939,             0.51016,             0.30677,            0.029369,            0.039438,            0.035768,           0.0066191,           0.0066191,           0.0066191
                  44,            0.027964,            0.055976,            0.033548,              0.4708,             0.69722,             0.49777,             0.29308,            0.029523,            0.040033,            0.035476,           0.0064816,           0.0064816,           0.0064816
                  45,            0.027947,            0.050366,            0.033248,             0.49058,             0.70495,             0.51454,             0.30356,            0.029479,            0.039013,            0.034665,           0.0063432,           0.0063432,           0.0063432
                  46,            0.028097,            0.054811,            0.032884,             0.47914,             0.71796,             0.52093,             0.30116,            0.028904,            0.040078,            0.036095,            0.006204,            0.006204,            0.006204
                  47,            0.029123,             0.05746,             0.03357,             0.47024,             0.74485,             0.50586,             0.29566,            0.028568,            0.039545,            0.035157,            0.006064,            0.006064,            0.006064
                  48,            0.027364,            0.057866,            0.032546,             0.47496,             0.72967,             0.50927,              0.2754,            0.029739,            0.040974,            0.035576,           0.0059235,           0.0059235,           0.0059235
                  49,            0.028403,            0.056083,            0.033146,              0.4654,             0.74931,             0.51772,             0.30967,            0.029143,            0.039613,            0.035207,           0.0057826,           0.0057826,           0.0057826
                  50,             0.02764,            0.049723,            0.032097,             0.48514,             0.73701,             0.51506,             0.29782,            0.028351,            0.039047,            0.034798,           0.0056413,           0.0056413,           0.0056413
                  51,            0.027599,            0.054996,            0.031882,             0.46632,             0.79977,             0.52667,             0.29294,            0.028305,            0.038931,            0.034875,              0.0055,              0.0055,              0.0055
                  52,            0.027805,            0.054118,            0.032619,             0.45011,             0.77248,             0.53147,             0.30945,            0.027496,            0.038933,            0.035184,           0.0053587,           0.0053587,           0.0053587
                  53,            0.026713,            0.051337,            0.030838,             0.46555,             0.74917,             0.52807,             0.31177,            0.027204,            0.038481,             0.03523,           0.0052174,           0.0052174,           0.0052174
                  54,            0.027222,            0.054722,            0.031406,             0.45375,             0.76375,             0.52902,             0.30187,            0.029624,            0.039977,            0.035277,           0.0050765,           0.0050765,           0.0050765
                  55,            0.027264,            0.055742,            0.031382,             0.46465,              0.7566,             0.52573,             0.31557,            0.028103,            0.039253,            0.036169,            0.004936,            0.004936,            0.004936
                  56,            0.026869,            0.053234,            0.030598,             0.44144,             0.77706,             0.52077,             0.31167,            0.028142,             0.03884,            0.036242,            0.004796,            0.004796,            0.004796
                  57,            0.026834,            0.053514,            0.030675,             0.44864,             0.75804,             0.52022,              0.3092,            0.027797,            0.039041,            0.035636,           0.0046568,           0.0046568,           0.0046568
                  58,            0.026187,            0.051612,            0.030464,             0.45215,             0.73606,             0.51786,             0.31121,            0.028574,            0.039845,             0.03557,           0.0045184,           0.0045184,           0.0045184
                  59,            0.026522,            0.052247,            0.029473,             0.45301,             0.78513,             0.52841,             0.32233,            0.027912,            0.039522,            0.035221,           0.0043809,           0.0043809,           0.0043809
                  60,            0.026032,            0.054263,            0.029652,             0.44828,             0.75936,             0.53347,             0.31711,            0.028349,             0.03921,            0.035685,           0.0042445,           0.0042445,           0.0042445
                  61,            0.025999,            0.056269,            0.029544,             0.49391,             0.67363,             0.52734,             0.30906,            0.028109,            0.039758,            0.036698,           0.0041094,           0.0041094,           0.0041094
                  62,            0.025842,            0.051361,            0.030222,             0.45187,             0.76367,             0.53042,             0.32458,            0.027511,            0.039517,            0.035748,           0.0039757,           0.0039757,           0.0039757
                  63,             0.02652,             0.05204,            0.029821,             0.47339,             0.72044,             0.53634,             0.32038,            0.027838,            0.038685,            0.035972,           0.0038434,           0.0038434,           0.0038434
                  64,            0.026318,             0.05364,            0.030315,             0.44236,             0.82794,             0.53421,             0.31462,             0.02762,            0.039754,            0.035132,           0.0037128,           0.0037128,           0.0037128
                  65,            0.025768,            0.053672,             0.02935,             0.45475,             0.78826,             0.51565,             0.30854,            0.027292,            0.039645,            0.034692,            0.003584,            0.003584,            0.003584
                  66,             0.02574,            0.052415,            0.028401,             0.49404,             0.76143,             0.53174,             0.31416,             0.02657,            0.039071,             0.03591,            0.003457,            0.003457,            0.003457
                  67,            0.025793,             0.05221,            0.028465,             0.48603,             0.77038,             0.53973,              0.3238,            0.027086,            0.038551,            0.035033,           0.0033321,           0.0033321,           0.0033321
                  68,            0.025699,            0.051089,            0.028566,             0.51214,             0.70878,             0.54477,             0.31643,             0.02841,            0.039736,            0.034215,           0.0032093,           0.0032093,           0.0032093
                  69,            0.025684,            0.050345,            0.029263,             0.45892,             0.78918,             0.55659,             0.33206,            0.026237,            0.039046,            0.035415,           0.0030888,           0.0030888,           0.0030888
                  70,            0.024962,             0.04845,            0.028334,             0.49109,             0.74557,              0.5393,             0.32481,            0.026251,            0.038217,            0.036843,           0.0029706,           0.0029706,           0.0029706
                  71,            0.024711,            0.048735,             0.02799,             0.45689,             0.79487,             0.53909,             0.32081,            0.027064,            0.039506,            0.035301,            0.002855,            0.002855,            0.002855
                  72,            0.024796,            0.053567,            0.028312,             0.46925,             0.74881,             0.53824,             0.31411,            0.028577,            0.040799,            0.035578,           0.0027419,           0.0027419,           0.0027419
                  73,            0.024818,            0.051069,            0.027085,             0.45189,             0.73941,             0.53363,              0.3228,             0.02782,            0.039908,            0.037022,           0.0026316,           0.0026316,           0.0026316
                  74,            0.024786,            0.048456,             0.02776,             0.45699,             0.74469,             0.53472,             0.32038,            0.027507,             0.03914,            0.038728,           0.0025241,           0.0025241,           0.0025241
                  75,            0.024239,            0.048229,            0.027518,             0.45331,             0.73608,             0.53287,             0.32391,            0.027183,            0.039934,            0.036513,           0.0024195,           0.0024195,           0.0024195
                  76,            0.025032,            0.051681,            0.028352,             0.50274,             0.70714,             0.55962,             0.33236,            0.026861,            0.039755,            0.035406,            0.002318,            0.002318,            0.002318
                  77,            0.024431,            0.053452,            0.027183,             0.50007,             0.75378,             0.56843,                0.34,            0.026688,            0.039448,            0.034846,           0.0022196,           0.0022196,           0.0022196
                  78,            0.024663,            0.049231,            0.026893,             0.50641,             0.76091,             0.54906,             0.33281,            0.026635,            0.038946,            0.036027,           0.0021245,           0.0021245,           0.0021245
